symbol,date,open,high,low,close,volume,trade_count,vwap,feed,adjustment
CEG,2026-03-16,305.4,307.02,300.95,305.11,2211215,56216,304.03,sip,all
CEG,2026-03-17,307.5,310.53,305.08,307.21,2010186,55955,307.49,sip,all
CEG,2026-03-18,308.51,322.15,307.07,316.73,2637662,70355,317.5,sip,all
CEG,2026-03-19,313.46,317.88,306.22,315.98,2389737,68129,312.94,sip,all
CEG,2026-03-20,313.95,315.98,277.43,281.55,6112987,130871,288.5,sip,all
CEG,2026-03-23,290.08,294.18,285.07,289.31,2721650,88055,290.05,sip,all
CEG,2026-03-24,286.0,298.8,286.0,294.39,2410840,58773,294.7,sip,all
CEG,2026-03-25,302.3,308.71,299.86,302.85,2427055,65418,304.45,sip,all
CEG,2026-03-26,300.53,302.53,285.23,294.73,3132691,81001,293.57,sip,all
CEG,2026-03-27,295.45,306.46,295.45,301.02,2498192,67834,301.84,sip,all
CEG,2026-03-30,303.1,309.52,294.54,298.15,2678006,79045,299.74,sip,all
CEG,2026-03-31,274.62,284.48,270.47,278.82,6211476,154014,276.6,sip,all
CEG,2026-04-01,282.0,286.26,276.87,279.03,3563896,97475,280.9,sip,all
CEG,2026-04-02,270.84,275.21,264.33,272.4,3260641,81409,271.63,sip,all
CEG,2026-04-06,273.22,277.34,272.06,274.73,2474473,67869,274.84,sip,all
CEG,2026-04-07,273.49,275.2,267.29,272.16,2832868,73616,270.72,sip,all
CEG,2026-04-08,282.56,287.55,280.8,283.83,2587806,75405,283.73,sip,all
CEG,2026-04-09,284.13,293.14,279.6,279.82,3005156,80487,285.22,sip,all
CEG,2026-04-10,279.98,292.55,279.57,286.06,2694629,67547,286.94,sip,all
CEG,2026-04-13,282.6,292.25,281.06,291.27,2699262,74545,288.2,sip,all
CEG,2026-04-14,295.29,296.94,289.52,296.15,2287796,68506,294.75,sip,all
CEG,2026-04-15,297.98,299.4,292.18,294.27,1933452,63924,295.03,sip,all
CEG,2026-04-16,295.9,303.71,293.72,298.68,2900297,76009,298.73,sip,all
CEG,2026-04-17,303.55,305.29,291.15,295.75,2270971,72295,296.25,sip,all
CEG,2026-04-20,294.82,295.99,285.83,287.11,2483193,72639,289.3,sip,all
CEG,2026-04-21,287.55,288.67,276.41,277.27,3400812,97788,279.32,sip,all
CEG,2026-04-22,282.07,288.63,281.9,286.72,2584841,75655,285.57,sip,all
CEG,2026-04-23,288.97,293.25,283.57,292.32,2770694,68031,290.44,sip,all
CEG,2026-04-24,293.65,313.71,290.76,313.04,3613882,104232,308.31,sip,all
CEG,2026-04-27,317.51,318.01,303.65,314.68,2376094,77211,312.68,sip,all
CEG,2026-04-28,313.22,313.79,304.41,305.24,2634523,74991,306.67,sip,all
CEG,2026-04-29,306.17,307.19,293.8,296.54,2736378,80103,297.66,sip,all
CEG,2026-04-30,302.39,314.08,300.44,312.52,2909793,74093,310.64,sip,all
CEG,2026-05-01,312.03,316.75,307.14,307.33,2106093,63179,310.98,sip,all
CEG,2026-05-04,308.3,324.92,308.3,320.55,2838746,79037,319.94,sip,all
CEG,2026-05-05,323.35,324.49,318.09,319.92,1899333,63615,321.05,sip,all
CEG,2026-05-06,319.92,325.19,313.52,322.28,3066529,92248,320.62,sip,all
CEG,2026-05-07,322.51,328.29,310.18,310.8,2634397,80761,315.08,sip,all
CEG,2026-05-08,314.38,317.16,301.29,303.16,2953361,96569,306.61,sip,all
